Library,Operation,Data Size,Mean Time (s),Median Time (s),Std Dev (s),Min Time (s),Max Time (s),Memory Peak (MB),Memory Mean (MB),CPU Utilization (%)
csv_std,filter,"100,000",0.001230,0.001230,0.000000,0.001230,0.001230,0.00,0.00,0.00
csv_std,filter,"500,000",0.001099,0.001099,0.000000,0.001099,0.001099,0.00,0.00,0.00
csv_std,filter,"1,000,000",0.001370,0.001370,0.000000,0.001370,0.001370,0.00,0.00,0.00
csv_std,filter,"5,000,000",0.001329,0.001329,0.000000,0.001329,0.001329,0.00,0.00,0.00
cython,aggregate,"100,000",0.008514,0.008514,0.000000,0.008514,0.008514,0.00,0.00,0.00
cython,aggregate,"500,000",0.008514,0.008514,0.000000,0.008514,0.008514,0.00,0.00,0.00
cython,aggregate,"1,000,000",0.008514,0.008514,0.000000,0.008514,0.008514,0.00,0.00,0.00
cython,aggregate,"5,000,000",0.008514,0.008514,0.000000,0.008514,0.008514,0.00,0.00,0.00
cython,create,"100,000",0.083973,0.083973,0.000000,0.083973,0.083973,0.00,0.00,0.00
cython,create,"500,000",0.083973,0.083973,0.000000,0.083973,0.083973,0.00,0.00,0.00
cython,create,"1,000,000",0.083973,0.083973,0.000000,0.083973,0.083973,0.00,0.00,0.00
cython,create,"5,000,000",0.083973,0.083973,0.000000,0.083973,0.083973,0.00,0.00,0.00
cython,filter,"100,000",0.012197,0.012197,0.000000,0.012197,0.012197,0.00,0.00,0.00
cython,filter,"500,000",0.012197,0.012197,0.000000,0.012197,0.012197,0.00,0.00,0.00
cython,filter,"1,000,000",0.012197,0.012197,0.000000,0.012197,0.012197,0.00,0.00,0.00
cython,filter,"5,000,000",0.012197,0.012197,0.000000,0.012197,0.012197,0.00,0.00,0.00
cython,join,"100,000",0.009914,0.009914,0.000000,0.009914,0.009914,0.00,0.00,0.00
cython,join,"500,000",0.009914,0.009914,0.000000,0.009914,0.009914,0.00,0.00,0.00
cython,join,"1,000,000",0.009914,0.009914,0.000000,0.009914,0.009914,0.00,0.00,0.00
cython,join,"5,000,000",0.009914,0.009914,0.000000,0.009914,0.009914,0.00,0.00,0.00
cython,sort,"100,000",0.010587,0.010587,0.000000,0.010587,0.010587,0.00,0.00,0.00
cython,sort,"500,000",0.010587,0.010587,0.000000,0.010587,0.010587,0.00,0.00,0.00
cython,sort,"1,000,000",0.010587,0.010587,0.000000,0.010587,0.010587,0.00,0.00,0.00
cython,sort,"5,000,000",0.010587,0.010587,0.000000,0.010587,0.010587,0.00,0.00,0.00
dask,aggregate,"100,000",0.023926,0.023926,0.000000,0.023926,0.023926,0.00,0.00,0.00
dask,aggregate,"500,000",0.062305,0.062305,0.000000,0.062305,0.062305,0.00,0.00,0.00
dask,aggregate,"1,000,000",0.104595,0.104595,0.000000,0.104595,0.104595,0.00,0.00,0.00
dask,aggregate,"5,000,000",0.481492,0.481492,0.000000,0.481492,0.481492,0.00,0.00,0.00
dask,create,"100,000",0.012170,0.012170,0.000000,0.012170,0.012170,0.00,0.00,0.00
dask,create,"500,000",0.048885,0.048885,0.000000,0.048885,0.048885,0.00,0.00,0.00
dask,create,"1,000,000",0.074547,0.074547,0.000000,0.074547,0.074547,0.00,0.00,0.00
dask,create,"5,000,000",0.446683,0.446683,0.000000,0.446683,0.446683,0.00,0.00,0.00
dask,filter,"100,000",0.025988,0.025988,0.000000,0.025988,0.025988,0.00,0.00,0.00
dask,filter,"500,000",0.077727,0.077727,0.000000,0.077727,0.077727,0.00,0.00,0.00
dask,filter,"1,000,000",0.129645,0.129645,0.000000,0.129645,0.129645,0.00,0.00,0.00
dask,filter,"5,000,000",0.659708,0.659708,0.000000,0.659708,0.659708,0.00,0.00,0.00
duckdb,aggregate,"100,000",0.006178,0.006178,0.000000,0.006178,0.006178,0.00,0.00,0.00
duckdb,aggregate,"500,000",0.005773,0.005773,0.000000,0.005773,0.005773,0.00,0.00,0.00
duckdb,aggregate,"1,000,000",0.004647,0.004647,0.000000,0.004647,0.004647,0.00,0.00,0.00
duckdb,aggregate,"5,000,000",0.012700,0.012700,0.000000,0.012700,0.012700,0.00,0.00,0.00
duckdb,create,"100,000",0.003311,0.003311,0.000000,0.003311,0.003311,0.00,0.00,0.00
duckdb,create,"500,000",0.003600,0.003600,0.000000,0.003600,0.003600,0.00,0.00,0.00
duckdb,create,"1,000,000",0.003108,0.003108,0.000000,0.003108,0.003108,0.00,0.00,0.00
duckdb,create,"5,000,000",0.004398,0.004398,0.000000,0.004398,0.004398,0.00,0.00,0.00
duckdb,filter,"100,000",0.015781,0.015781,0.000000,0.015781,0.015781,0.00,0.00,0.00
duckdb,filter,"500,000",0.055975,0.055975,0.000000,0.055975,0.055975,0.00,0.00,0.00
duckdb,filter,"1,000,000",0.117312,0.117312,0.000000,0.117312,0.117312,0.00,0.00,0.00
duckdb,filter,"5,000,000",0.640654,0.640654,0.000000,0.640654,0.640654,0.00,0.00,0.00
duckdb,join,"100,000",0.022594,0.022594,0.000000,0.022594,0.022594,0.00,0.00,0.00
duckdb,join,"500,000",0.085951,0.085951,0.000000,0.085951,0.085951,0.00,0.00,0.00
duckdb,join,"1,000,000",0.158120,0.158120,0.000000,0.158120,0.158120,0.00,0.00,0.00
duckdb,join,"5,000,000",0.785742,0.785742,0.000000,0.785742,0.785742,0.00,0.00,0.00
duckdb,sort,"100,000",0.036290,0.036290,0.000000,0.036290,0.036290,0.00,0.00,0.00
duckdb,sort,"500,000",0.130772,0.130772,0.000000,0.130772,0.130772,0.00,0.00,0.00
duckdb,sort,"1,000,000",0.242128,0.242128,0.000000,0.242128,0.242128,0.00,0.00,0.00
duckdb,sort,"5,000,000",1.604185,1.604185,0.000000,1.604185,1.604185,0.00,0.00,0.00
functools_std,create,"100,000",0.000027,0.000027,0.000000,0.000027,0.000027,0.00,0.00,0.00
functools_std,create,"500,000",0.000029,0.000029,0.000000,0.000029,0.000029,0.00,0.00,0.00
functools_std,create,"1,000,000",0.000031,0.000031,0.000000,0.000031,0.000031,0.00,0.00,0.00
functools_std,create,"5,000,000",0.000046,0.000046,0.000000,0.000046,0.000046,0.00,0.00,0.00
h5py,create,"100,000",0.012349,0.012349,0.000000,0.012349,0.012349,0.00,0.00,0.00
h5py,create,"500,000",0.043557,0.043557,0.000000,0.043557,0.043557,0.00,0.00,0.00
h5py,create,"1,000,000",0.090992,0.090992,0.000000,0.090992,0.090992,0.00,0.00,0.00
h5py,create,"5,000,000",0.455988,0.455988,0.000000,0.455988,0.455988,0.00,0.00,0.00
heapq_std,create,"100,000",0.000027,0.000027,0.000000,0.000027,0.000027,0.00,0.00,0.00
heapq_std,create,"500,000",0.000028,0.000028,0.000000,0.000028,0.000028,0.00,0.00,0.00
heapq_std,create,"1,000,000",0.000028,0.000028,0.000000,0.000028,0.000028,0.00,0.00,0.00
heapq_std,create,"5,000,000",0.000025,0.000025,0.000000,0.000025,0.000025,0.00,0.00,0.00
heapq_std,filter,"100,000",0.000048,0.000048,0.000000,0.000048,0.000048,0.00,0.00,0.00
heapq_std,filter,"500,000",0.000033,0.000033,0.000000,0.000033,0.000033,0.00,0.00,0.00
heapq_std,filter,"1,000,000",0.000032,0.000032,0.000000,0.000032,0.000032,0.00,0.00,0.00
heapq_std,filter,"5,000,000",0.000035,0.000035,0.000000,0.000035,0.000035,0.00,0.00,0.00
itertools_std,create,"100,000",0.044137,0.044137,0.000000,0.044137,0.044137,0.00,0.00,0.00
itertools_std,create,"500,000",0.911840,0.911840,0.000000,0.911840,0.911840,0.00,0.00,0.00
itertools_std,create,"1,000,000",1.928990,1.928990,0.000000,1.928990,1.928990,0.00,0.00,0.00
itertools_std,create,"5,000,000",11.855873,11.855873,0.000000,11.855873,11.855873,0.00,0.00,0.00
itertools_std,filter,"100,000",0.000053,0.000053,0.000000,0.000053,0.000053,0.00,0.00,0.00
itertools_std,filter,"500,000",0.000034,0.000034,0.000000,0.000034,0.000034,0.00,0.00,0.00
itertools_std,filter,"1,000,000",0.000036,0.000036,0.000000,0.000036,0.000036,0.00,0.00,0.00
itertools_std,filter,"5,000,000",0.000039,0.000039,0.000000,0.000039,0.000039,0.00,0.00,0.00
jax,aggregate,"100,000",0.023056,0.023056,0.000000,0.023056,0.023056,0.00,0.00,0.00
jax,aggregate,"500,000",0.023258,0.023258,0.000000,0.023258,0.023258,0.00,0.00,0.00
jax,aggregate,"1,000,000",0.023290,0.023290,0.000000,0.023290,0.023290,0.00,0.00,0.00
jax,aggregate,"5,000,000",0.026762,0.026762,0.000000,0.026762,0.026762,0.00,0.00,0.00
jax,create,"100,000",0.389875,0.389875,0.000000,0.389875,0.389875,0.00,0.00,0.00
jax,create,"500,000",1.768109,1.768109,0.000000,1.768109,1.768109,0.00,0.00,0.00
jax,create,"1,000,000",3.406959,3.406959,0.000000,3.406959,3.406959,0.00,0.00,0.00
jax,create,"5,000,000",14.905918,14.905918,0.000000,14.905918,14.905918,0.00,0.00,0.00
jax,filter,"100,000",0.111071,0.111071,0.000000,0.111071,0.111071,0.00,0.00,0.00
jax,filter,"500,000",0.191135,0.191135,0.000000,0.191135,0.191135,0.00,0.00,0.00
jax,filter,"1,000,000",0.279554,0.279554,0.000000,0.279554,0.279554,0.00,0.00,0.00
jax,filter,"5,000,000",1.160015,1.160015,0.000000,1.160015,1.160015,0.00,0.00,0.00
json_std,create,"100,000",0.001563,0.001563,0.000000,0.001563,0.001563,0.00,0.00,0.00
json_std,create,"500,000",0.001492,0.001492,0.000000,0.001492,0.001492,0.00,0.00,0.00
json_std,create,"1,000,000",0.001638,0.001638,0.000000,0.001638,0.001638,0.00,0.00,0.00
json_std,create,"5,000,000",0.002073,0.002073,0.000000,0.002073,0.002073,0.00,0.00,0.00
json_std,filter,"100,000",0.000883,0.000883,0.000000,0.000883,0.000883,0.00,0.00,0.00
json_std,filter,"500,000",0.000876,0.000876,0.000000,0.000876,0.000876,0.00,0.00,0.00
json_std,filter,"1,000,000",0.000944,0.000944,0.000000,0.000944,0.000944,0.00,0.00,0.00
json_std,filter,"5,000,000",0.000912,0.000912,0.000000,0.000912,0.000912,0.00,0.00,0.00
lightgbm,create,"100,000",0.000032,0.000032,0.000000,0.000032,0.000032,0.00,0.00,0.00
lightgbm,create,"500,000",0.000018,0.000018,0.000000,0.000018,0.000018,0.00,0.00,0.00
lightgbm,create,"1,000,000",0.000025,0.000025,0.000000,0.000025,0.000025,0.00,0.00,0.00
lightgbm,create,"5,000,000",0.000017,0.000017,0.000000,0.000017,0.000017,0.00,0.00,0.00
lightgbm,filter,"100,000",0.052986,0.052986,0.000000,0.052986,0.052986,0.00,0.00,0.00
lightgbm,filter,"500,000",0.003150,0.003150,0.000000,0.003150,0.003150,0.00,0.00,0.00
lightgbm,filter,"1,000,000",0.003831,0.003831,0.000000,0.003831,0.003831,0.00,0.00,0.00
lightgbm,filter,"5,000,000",0.004854,0.004854,0.000000,0.004854,0.004854,0.00,0.00,0.00
modin,aggregate,"100,000",0.011760,0.011760,0.000000,0.011760,0.011760,0.00,0.00,0.00
modin,aggregate,"500,000",0.017107,0.017107,0.000000,0.017107,0.017107,0.00,0.00,0.00
modin,aggregate,"1,000,000",0.012659,0.012659,0.000000,0.012659,0.012659,0.00,0.00,0.00
modin,aggregate,"5,000,000",0.013038,0.013038,0.000000,0.013038,0.013038,0.00,0.00,0.00
modin,create,"100,000",4.469070,4.469070,0.000000,4.469070,4.469070,0.00,0.00,0.00
modin,create,"500,000",6.962711,6.962711,0.000000,6.962711,6.962711,0.00,0.00,0.00
modin,create,"1,000,000",14.012523,14.012523,0.000000,14.012523,14.012523,0.00,0.00,0.00
modin,create,"5,000,000",70.488622,70.488622,0.000000,70.488622,70.488622,0.00,0.00,0.00
modin,filter,"100,000",0.216309,0.216309,0.000000,0.216309,0.216309,0.00,0.00,0.00
modin,filter,"500,000",0.061229,0.061229,0.000000,0.061229,0.061229,0.00,0.00,0.00
modin,filter,"1,000,000",0.066705,0.066705,0.000000,0.066705,0.066705,0.00,0.00,0.00
modin,filter,"5,000,000",0.288509,0.288509,0.000000,0.288509,0.288509,0.00,0.00,0.00
msgpack,create,"100,000",0.000081,0.000081,0.000000,0.000081,0.000081,0.00,0.00,0.00
msgpack,create,"500,000",0.000400,0.000400,0.000000,0.000400,0.000400,0.00,0.00,0.00
msgpack,create,"1,000,000",0.000158,0.000158,0.000000,0.000158,0.000158,0.00,0.00,0.00
msgpack,create,"5,000,000",0.001014,0.001014,0.000000,0.001014,0.001014,0.00,0.00,0.00
msgpack,filter,"100,000",0.000085,0.000085,0.000000,0.000085,0.000085,0.00,0.00,0.00
msgpack,filter,"500,000",0.000053,0.000053,0.000000,0.000053,0.000053,0.00,0.00,0.00
msgpack,filter,"1,000,000",0.000060,0.000060,0.000000,0.000060,0.000060,0.00,0.00,0.00
msgpack,filter,"5,000,000",0.000057,0.000057,0.000000,0.000057,0.000057,0.00,0.00,0.00
networkx,aggregate,"100,000",0.000196,0.000196,0.000000,0.000196,0.000196,0.00,0.00,0.00
networkx,aggregate,"500,000",0.000043,0.000043,0.000000,0.000043,0.000043,0.00,0.00,0.00
networkx,aggregate,"1,000,000",0.000033,0.000033,0.000000,0.000033,0.000033,0.00,0.00,0.00
networkx,aggregate,"5,000,000",0.000046,0.000046,0.000000,0.000046,0.000046,0.00,0.00,0.00
networkx,create,"100,000",0.000123,0.000123,0.000000,0.000123,0.000123,0.00,0.00,0.00
networkx,create,"500,000",0.000083,0.000083,0.000000,0.000083,0.000083,0.00,0.00,0.00
networkx,create,"1,000,000",0.000060,0.000060,0.000000,0.000060,0.000060,0.00,0.00,0.00
networkx,create,"5,000,000",0.000074,0.000074,0.000000,0.000074,0.000074,0.00,0.00,0.00
networkx,filter,"100,000",0.000318,0.000318,0.000000,0.000318,0.000318,0.00,0.00,0.00
networkx,filter,"500,000",0.000054,0.000054,0.000000,0.000054,0.000054,0.00,0.00,0.00
networkx,filter,"1,000,000",0.000080,0.000080,0.000000,0.000080,0.000080,0.00,0.00,0.00
networkx,filter,"5,000,000",0.000064,0.000064,0.000000,0.000064,0.000064,0.00,0.00,0.00
numba,create,"100,000",0.245038,0.245038,0.000000,0.245038,0.245038,0.00,0.00,0.00
numba,create,"500,000",0.021040,0.021040,0.000000,0.021040,0.021040,0.00,0.00,0.00
numba,create,"1,000,000",0.021660,0.021660,0.000000,0.021660,0.021660,0.00,0.00,0.00
numba,create,"5,000,000",0.023420,0.023420,0.000000,0.023420,0.023420,0.00,0.00,0.00
numpy,aggregate,"100,000",0.000613,0.000613,0.000000,0.000613,0.000613,0.00,0.00,0.00
numpy,aggregate,"500,000",0.000945,0.000945,0.000000,0.000945,0.000945,0.00,0.00,0.00
numpy,aggregate,"1,000,000",0.001422,0.001422,0.000000,0.001422,0.001422,0.00,0.00,0.00
numpy,aggregate,"5,000,000",0.006859,0.006859,0.000000,0.006859,0.006859,0.00,0.00,0.00
numpy,create,"100,000",0.007691,0.007691,0.000000,0.007691,0.007691,0.00,0.00,0.00
numpy,create,"500,000",0.038699,0.038699,0.000000,0.038699,0.038699,0.00,0.00,0.00
numpy,create,"1,000,000",0.076059,0.076059,0.000000,0.076059,0.076059,0.00,0.00,0.00
numpy,create,"5,000,000",0.362371,0.362371,0.000000,0.362371,0.362371,0.00,0.00,0.00
numpy,filter,"100,000",0.002583,0.002583,0.000000,0.002583,0.002583,0.00,0.00,0.00
numpy,filter,"500,000",0.014234,0.014234,0.000000,0.014234,0.014234,0.00,0.00,0.00
numpy,filter,"1,000,000",0.025909,0.025909,0.000000,0.025909,0.025909,0.00,0.00,0.00
numpy,filter,"5,000,000",0.130808,0.130808,0.000000,0.130808,0.130808,0.00,0.00,0.00
numpy,join,"100,000",0.000362,0.000362,0.000000,0.000362,0.000362,0.00,0.00,0.00
numpy,join,"500,000",0.001249,0.001249,0.000000,0.001249,0.001249,0.00,0.00,0.00
numpy,join,"1,000,000",0.001518,0.001518,0.000000,0.001518,0.001518,0.00,0.00,0.00
numpy,join,"5,000,000",0.009732,0.009732,0.000000,0.009732,0.009732,0.00,0.00,0.00
numpy,sort,"100,000",0.006682,0.006682,0.000000,0.006682,0.006682,0.00,0.00,0.00
numpy,sort,"500,000",0.038373,0.038373,0.000000,0.038373,0.038373,0.00,0.00,0.00
numpy,sort,"1,000,000",0.083254,0.083254,0.000000,0.083254,0.083254,0.00,0.00,0.00
numpy,sort,"5,000,000",0.565598,0.565598,0.000000,0.565598,0.565598,0.00,0.00,0.00
operator_std,create,"100,000",0.017376,0.017376,0.000000,0.017376,0.017376,0.00,0.00,0.00
operator_std,create,"500,000",0.105259,0.105259,0.000000,0.105259,0.105259,0.00,0.00,0.00
operator_std,create,"1,000,000",0.229581,0.229581,0.000000,0.229581,0.229581,0.00,0.00,0.00
operator_std,create,"5,000,000",1.471564,1.471564,0.000000,1.471564,1.471564,0.00,0.00,0.00
optuna,create,"100,000",0.001814,0.001814,0.000000,0.001814,0.001814,0.00,0.00,0.00
optuna,create,"500,000",0.001687,0.001687,0.000000,0.001687,0.001687,0.00,0.00,0.00
optuna,create,"1,000,000",0.001506,0.001506,0.000000,0.001506,0.001506,0.00,0.00,0.00
optuna,create,"5,000,000",0.001201,0.001201,0.000000,0.001201,0.001201,0.00,0.00,0.00
orjson,create,"100,000",0.000190,0.000190,0.000000,0.000190,0.000190,0.00,0.00,0.00
orjson,create,"500,000",0.000265,0.000265,0.000000,0.000265,0.000265,0.00,0.00,0.00
orjson,create,"1,000,000",0.000393,0.000393,0.000000,0.000393,0.000393,0.00,0.00,0.00
orjson,create,"5,000,000",0.000997,0.000997,0.000000,0.000997,0.000997,0.00,0.00,0.00
orjson,filter,"100,000",0.000454,0.000454,0.000000,0.000454,0.000454,0.00,0.00,0.00
orjson,filter,"500,000",0.000525,0.000525,0.000000,0.000525,0.000525,0.00,0.00,0.00
orjson,filter,"1,000,000",0.000382,0.000382,0.000000,0.000382,0.000382,0.00,0.00,0.00
orjson,filter,"5,000,000",0.000388,0.000388,0.000000,0.000388,0.000388,0.00,0.00,0.00
pandas,aggregate,"100,000",0.004583,0.004583,0.000000,0.004583,0.004583,0.00,0.00,0.00
pandas,aggregate,"500,000",0.014806,0.014806,0.000000,0.014806,0.014806,0.00,0.00,0.00
pandas,aggregate,"1,000,000",0.026308,0.026308,0.000000,0.026308,0.026308,0.00,0.00,0.00
pandas,aggregate,"5,000,000",0.127589,0.127589,0.000000,0.127589,0.127589,0.00,0.00,0.00
pandas,create,"100,000",0.056016,0.056016,0.000000,0.056016,0.056016,0.00,0.00,0.00
pandas,create,"500,000",0.283229,0.283229,0.000000,0.283229,0.283229,0.00,0.00,0.00
pandas,create,"1,000,000",0.526043,0.526043,0.000000,0.526043,0.526043,0.00,0.00,0.00
pandas,create,"5,000,000",2.571636,2.571636,0.000000,2.571636,2.571636,0.00,0.00,0.00
pandas,filter,"100,000",0.004594,0.004594,0.000000,0.004594,0.004594,0.00,0.00,0.00
pandas,filter,"500,000",0.017277,0.017277,0.000000,0.017277,0.017277,0.00,0.00,0.00
pandas,filter,"1,000,000",0.026487,0.026487,0.000000,0.026487,0.026487,0.00,0.00,0.00
pandas,filter,"5,000,000",0.125858,0.125858,0.000000,0.125858,0.125858,0.00,0.00,0.00
pandas,join,"100,000",0.010193,0.010193,0.000000,0.010193,0.010193,0.00,0.00,0.00
pandas,join,"500,000",0.052338,0.052338,0.000000,0.052338,0.052338,0.00,0.00,0.00
pandas,join,"1,000,000",0.099873,0.099873,0.000000,0.099873,0.099873,0.00,0.00,0.00
pandas,join,"5,000,000",0.623081,0.623081,0.000000,0.623081,0.623081,0.00,0.00,0.00
pandas,sort,"100,000",0.030360,0.030360,0.000000,0.030360,0.030360,0.00,0.00,0.00
pandas,sort,"500,000",0.162630,0.162630,0.000000,0.162630,0.162630,0.00,0.00,0.00
pandas,sort,"1,000,000",0.355549,0.355549,0.000000,0.355549,0.355549,0.00,0.00,0.00
pandas,sort,"5,000,000",2.799206,2.799206,0.000000,2.799206,2.799206,0.00,0.00,0.00
pickle_std,create,"100,000",0.000146,0.000146,0.000000,0.000146,0.000146,0.00,0.00,0.00
pickle_std,create,"500,000",0.000167,0.000167,0.000000,0.000167,0.000167,0.00,0.00,0.00
pickle_std,create,"1,000,000",0.000504,0.000504,0.000000,0.000504,0.000504,0.00,0.00,0.00
pickle_std,create,"5,000,000",0.000543,0.000543,0.000000,0.000543,0.000543,0.00,0.00,0.00
pickle_std,filter,"100,000",0.000156,0.000156,0.000000,0.000156,0.000156,0.00,0.00,0.00
pickle_std,filter,"500,000",0.000170,0.000170,0.000000,0.000170,0.000170,0.00,0.00,0.00
pickle_std,filter,"1,000,000",0.000163,0.000163,0.000000,0.000163,0.000163,0.00,0.00,0.00
pickle_std,filter,"5,000,000",0.000177,0.000177,0.000000,0.000177,0.000177,0.00,0.00,0.00
protobuf,aggregate,"100,000",0.028104,0.028104,0.000000,0.028104,0.028104,0.00,0.00,0.00
protobuf,aggregate,"500,000",0.028104,0.028104,0.000000,0.028104,0.028104,0.00,0.00,0.00
protobuf,aggregate,"1,000,000",0.028104,0.028104,0.000000,0.028104,0.028104,0.00,0.00,0.00
protobuf,aggregate,"5,000,000",0.028104,0.028104,0.000000,0.028104,0.028104,0.00,0.00,0.00
protobuf,create,"100,000",0.086992,0.086992,0.000000,0.086992,0.086992,0.00,0.00,0.00
protobuf,create,"500,000",0.086992,0.086992,0.000000,0.086992,0.086992,0.00,0.00,0.00
protobuf,create,"1,000,000",0.086992,0.086992,0.000000,0.086992,0.086992,0.00,0.00,0.00
